tp,datetime,file,freshness,spoiled_ratio,meat_coverage
T1,2025/12/23 11:52,01.mat,0.894672,0.007679,0.298071
T2,2025/12/23 14:08,02.mat,0.851973,0.014797,0.260233
T3,2025/12/23 15:36,03.mat,0.714226,0.063787,0.251220
T4,2025/12/23 16:28,04.mat,0.690056,0.071027,0.242424
T5,2025/12/23 17:31,05.mat,0.673890,0.074013,0.217973
T6,2025/12/23 19:09,06.mat,0.629214,0.085659,0.203718
T8,2025/12/23 20:18,08.mat,0.607093,0.096430,0.189429
T9,2025/12/23 21:32,09.mat,0.572710,0.114768,0.182091
T10,2025/12/23 22:28,10.mat,0.557406,0.127431,0.193886
T11,2025/12/23 22:54,11.mat,0.556387,0.130272,0.179902
T12,2025/12/24 09:55,12.mat,0.450026,0.279501,0.187097
T13,2025/12/24 12:58,13.mat,0.435274,0.326576,0.195880
T14,2025/12/24 15:05,14.mat,0.414070,0.354120,0.200139
T15,2025/12/24 16:48,15.mat,0.414752,0.363451,0.192687
T16,2025/12/24 19:05,16.mat,0.389675,0.384859,0.206432
T17,2025/12/24 21:47,17.mat,0.386901,0.394120,0.208003
T18,2025/12/24 23:10,18.mat,0.394728,0.393454,0.207480
T19,2025/12/25 09:50,19.mat,0.396180,0.409983,0.197427
